,customer_id,vendor_id
0,12217,24
1,4476,19
2,3666,4
3,11830,13
4,15874,37
5,5165,28
6,13724,33
7,9936,24
8,1232,26
9,3344,59
10,452,0
11,17360,13
12,17360,28
13,17360,41
14,17360,28
15,16578,27
16,5426,25
17,16578,2
18,12824,19
19,3666,4
20,14747,48
21,4476,17
22,15494,0
23,16578,2
24,17814,19
25,16578,2
26,16578,27
27,14158,46
28,8907,34
29,3344,15
30,13490,34
31,5165,43
32,17557,13
33,1232,60
34,18627,71
35,3344,72
36,9256,13
37,19560,17
38,18972,75
39,18988,17
40,5165,28
41,19038,12
42,4986,75
43,5405,25
44,9224,53
45,7784,75
46,15626,13
47,17620,45
48,2398,17
49,6366,55
50,16336,13
51,19373,13
52,16578,27
53,8768,27
54,18914,37
55,9018,17
56,1232,59
57,15086,36
58,3344,15
59,3344,41
60,4279,55
61,15835,4
62,11961,69
63,6053,21
64,2134,13
65,4476,17
66,3344,11
67,10927,50
68,3344,2
69,11229,64
70,3344,41
71,1982,13
72,7214,21
73,7214,21
74,10941,27
75,2139,26
76,13894,19
77,5405,13
78,13894,44
79,5734,36
80,5405,13
81,14027,13
82,3062,24
83,4822,19
84,1232,29
85,6272,13
86,5165,27
87,3344,25
88,5405,13
89,1917,13
90,14647,13
91,3344,55
92,13894,44
93,8309,44
94,1554,16
95,4023,13
96,3344,27
97,3443,55
98,13242,27
99,10174,24
100,15086,17
101,9866,37
102,3344,27
103,8772,17
104,20481,75
105,4279,71
106,5784,43
107,8329,0
108,7406,49
109,19572,11
110,20490,75
111,10092,25
112,19572,13
113,11989,4
114,9984,22
115,3999,17
116,3344,62
117,13809,50
118,9826,1
119,20894,13
120,20530,1
121,8582,0
122,948,33
123,12027,6
124,20525,43
125,12908,21
126,948,33
127,13809,46
128,9826,45
129,4802,44
130,18914,27
131,20427,0
132,13824,33
133,8733,75
134,186,27
135,1472,19
136,1472,19
137,15385,13
138,2165,75
139,16460,37
140,14609,13
141,186,3
142,12857,17
143,186,71
144,17948,57
145,14508,6
146,11810,14
147,18480,8
148,6778,23
149,8849,18
150,1720,47
151,18106,83
152,18682,8
153,3344,10
154,15402,23
155,3623,18
156,20975,27
157,16460,82
158,14319,48
159,9224,83
160,6667,23
161,11098,41
162,16460,82
163,21108,72
164,6667,35
165,3344,0
166,22111,34
167,11413,43
168,11810,14
169,12,72
170,12080,27
171,6080,6
172,18767,27
173,3364,20
174,16460,82
175,16735,20
176,11866,58
177,5285,24
178,3409,25
179,13809,82
180,6080,35
181,11810,14
182,6458,56
183,11413,82
184,9984,22
185,10981,27
186,19256,77
187,22349,23
188,22504,82
189,22504,43
190,22410,48
191,22429,18
192,12857,18
193,7294,14
194,3364,56
195,4822,30
196,16578,2
197,22556,23
198,660,20
199,4822,76
200,16578,82
201,11810,14
202,3364,54
203,10444,18
204,21588,79
205,4822,18
206,20791,78
207,9936,56
208,22386,24
209,13904,0
210,2570,33
211,21128,18
212,3364,20
213,16460,82
214,21528,24
215,22816,5
216,8605,6
217,11537,27
218,6172,27
219,22777,28
220,22912,82
221,22896,82
222,50,40
223,22781,58
224,660,74
225,19572,12
226,3599,27
227,6172,27
228,14508,19
229,11331,85
230,22183,20
231,23446,7
232,7697,18
233,3344,85
234,15874,82
235,12577,6
236,10444,24
237,17620,42
238,18486,27
239,23471,27
240,18894,23
241,21048,24
242,6445,79
243,11371,14
244,4822,18
245,12961,48
246,22127,52
247,10580,14
248,50,40
249,4822,20
250,3894,74
251,9695,14
252,22777,10
253,23469,4
254,50,40
255,20918,74
256,11331,85
257,17232,7
258,6445,79
259,642,85
260,974,59
261,23646,4
262,10301,40
263,23652,63
264,541,67
265,22628,52
266,9670,25
267,3407,33
268,3499,77
269,22373,4
270,23681,4
271,20791,78
272,4845,54
273,19643,20
274,1138,5
275,11642,74
276,3499,22
277,21350,25
278,2165,74
279,1472,7
280,7579,4
281,21534,14
282,23725,14
283,16727,45
284,411,6
285,10833,54
286,17760,48
287,5341,41
288,5341,41
289,22504,43
290,12637,8
291,20541,83
292,1530,54
293,6053,76
294,13007,27
295,6172,27
296,569,18
297,9670,25
298,7746,74
299,514,76
300,10461,14
301,10444,18
302,23469,14
303,10111,87
304,1472,24
305,9070,54
306,7579,25
307,19885,25
308,12040,82
309,23582,54
310,23520,27
311,2251,5
312,17,14
313,40,35
314,22912,14
315,1839,14
316,18920,24
317,7894,25
318,7117,24
319,1138,5
320,23607,59
321,23446,7
322,4193,74
323,23988,47
324,23993,25
325,23993,77
326,4822,74
327,23996,14
328,901,85
329,4080,80
330,23469,27
331,3599,27
332,23168,7
333,11642,20
334,23469,14
335,22111,34
336,744,84
337,20894,14
338,5165,25
339,20811,23
340,3499,77
341,24093,7
342,7697,18
343,22674,4
344,8605,6
345,2661,66
346,22674,4
347,1660,5
348,8392,3
349,12724,6
350,23947,6
351,9356,78
352,20791,78
353,13524,8
354,21842,24
355,24132,27
356,6445,18
357,24201,82
358,24132,27
359,21058,24
360,11898,24
361,24265,43
362,24244,24
363,18106,24
364,24281,14
365,3286,20
366,19559,31
367,2156,70
368,23947,4
369,4845,24
370,4822,18
371,3409,14
372,24381,27
373,20791,20
374,363,0
375,9047,18
376,18983,64
377,21048,20
378,24461,43
379,21673,72
380,20811,23
381,19040,74
382,23947,85
383,16912,74
384,12913,27
385,4822,74
386,24478,28
387,24480,41
388,3407,56
389,3364,56
390,24478,28
391,11335,20
392,11335,18
393,22512,17
394,24527,18
395,24537,48
396,19988,48
397,13222,74
398,2517,18
399,1814,74
400,22556,23
401,21854,79
402,20298,18
403,12027,18
404,12027,74
405,21350,14
406,11898,24
407,4279,24
408,24270,14
409,5283,18
410,573,20
411,10341,24
412,18594,20
413,18622,60
414,24644,42
415,19562,15
416,11504,26
417,16735,74
418,24658,49
419,18480,76
420,18622,24
421,18622,33
422,18594,24
423,18622,83
424,18622,83
425,2215,59
426,20281,20
427,12027,18
428,20058,20
429,20058,20
430,6667,23
431,9807,82
432,2775,18
433,4822,18
434,22110,37
435,11898,79
436,14503,43
437,9606,16
438,12,67
439,20195,54
440,2156,70
441,20964,11
442,17620,42
443,19562,15
444,3742,24
445,22127,0
446,8605,6
447,14826,68
448,24381,27
449,11537,27
450,2517,21
451,18569,74
452,8313,40
453,11208,74
454,3150,15
455,594,8
456,19779,80
457,21041,74
458,22712,14
459,21183,76
460,24270,14
461,24188,43
462,11953,66
463,17620,42
464,19487,25
465,20636,14
466,24796,47
467,11537,27
468,23469,27
469,24813,4
470,24811,20
471,11680,79
472,24827,82
473,22712,14
474,7960,33
475,9356,87
476,6999,18
477,23207,14
478,16229,14
479,19593,35
480,2517,68
481,1907,35
482,11083,72
483,3499,2
484,20975,27
485,18698,81
486,17204,72
487,24898,0
488,4193,74
489,16272,86
490,24850,14
491,6080,35
492,24934,87
493,9807,82
494,24947,3
495,806,64
496,12277,3
497,22410,82
498,24698,5
499,11021,27
500,15481,27
501,24365,52
502,24982,41
503,6305,47
504,23006,73
505,8165,36
506,24032,43
507,7512,56
508,20027,14
509,9501,14
510,25004,85
511,6080,35
512,4142,87
513,6174,8
514,25009,4
515,24562,76
516,16558,51
517,18491,48
518,3894,74
519,775,74
520,22411,74
521,1839,14
522,22504,82
523,25045,34
524,7821,1
525,24201,82
526,25052,14
527,24629,29
528,25057,74
529,20525,40
530,25052,14
531,24365,52
532,25063,14
533,25009,4
534,16533,14
535,10981,89
536,7329,25
537,22961,14
538,23517,86
539,17684,14
540,363,66
541,20853,73
542,5405,14
543,24524,61
544,15981,25
545,15374,74
546,24365,52
547,5486,20
548,10174,24
549,2377,27
550,19099,24
551,22043,10
552,24906,68
553,1644,68
554,5165,0
555,11898,24
556,5351,14
557,23993,25
558,12718,42
559,7630,27
560,9528,27
561,3880,58
562,18914,85
563,16735,87
564,25200,73
565,12302,85
566,18311,49
567,19099,74
568,19779,20
569,3364,20
570,24201,82
571,25231,14
572,22712,14
573,2517,68
574,2517,68
575,24235,8
576,25249,48
577,8251,14
578,9517,41
579,22054,42
580,1232,2
581,18633,15
582,1009,38
583,17620,42
584,18698,81
585,22674,85
586,23517,10
587,18719,18
588,3742,73
589,3599,27
590,2251,89
591,25266,49
592,25268,63
593,871,20
594,15415,38
595,1009,0
596,12277,85
597,15124,63
598,23469,14
599,24982,41
600,16336,81
601,15046,3
602,22777,17
603,50,40
604,2517,21
605,5882,27
606,23520,27
607,660,90
608,13620,14
609,3499,2
610,23469,27
611,25091,82
612,21856,80
613,17505,22
614,6423,85
615,20791,78
616,11901,20
617,24043,74
618,14034,42
619,15588,14
620,11566,24
621,25460,20
622,3626,7
623,25474,30
624,9467,6
625,15330,14
626,20037,22
627,18480,64
628,12120,30
629,19878,14
630,21350,14
631,12913,77
632,22183,56
