,gender,dob,status,verified,language,created_at,updated_at,customer_id
0,Male,,1,1,EN,2018-02-07 19:16:23,2018-02-07 19:16:23,0
1,Male,,1,1,EN,2018-02-09 12:04:42,2018-02-09 12:04:41,1
2,Male,,0,1,EN,2018-03-14 18:31:43,2018-03-14 18:31:42,2
3,Male,,1,1,EN,2018-03-15 19:47:07,2018-03-15 19:47:07,3
4,Male,,1,1,EN,2018-03-15 19:57:01,2018-03-15 19:57:01,4
5,Male,,1,1,EN,2018-03-16 18:22:00,2018-03-16 18:22:00,5
6,Male,1957.0,1,1,EN,2018-03-16 21:46:19,2020-03-21 21:01:33,6
7,Male,,1,1,EN,2018-03-22 16:48:06,2018-03-22 16:48:06,7
8,Male,,1,1,EN,2018-03-22 19:55:54,2018-03-22 19:55:53,8
9,Male,,1,1,EN,2018-03-25 11:36:30,2018-03-25 11:36:30,9
10,Male,,1,1,EN,2018-03-30 22:28:12,2018-03-30 22:28:11,10
11,Male,,1,1,EN,2018-04-25 16:39:46,2018-04-25 16:39:46,11
12,Male,,1,1,EN,2018-04-25 16:39:52,2018-04-25 16:39:51,12
13,Male,,1,1,EN,2018-04-25 18:39:04,2018-04-25 18:39:04,13
14,Female,1970.0,1,1,EN,2018-04-30 00:57:51,2019-11-23 18:34:48,14
15,Male,,1,1,EN,2018-04-30 01:09:37,2018-04-30 01:09:36,15
16,Male,,1,1,EN,2018-04-30 01:13:20,2018-04-30 01:13:20,16
17,Male,,1,1,EN,2018-04-30 20:41:05,2018-04-30 20:41:04,17
18,Male,,1,1,EN,2018-04-30 20:42:02,2018-04-30 20:42:02,18
19,Male,1985.0,1,1,EN,2018-05-03 19:32:14,2018-05-03 19:32:13,19
20,Male,,1,1,EN,2018-05-03 23:08:57,2018-05-03 23:08:56,20
21,Female,1900.0,1,1,EN,2018-05-04 06:03:59,2018-05-04 06:03:58,21
22,Male,2002.0,1,1,EN,2018-05-04 15:01:58,2020-02-22 16:38:54,22
23,Male,,1,1,EN,2018-05-04 20:40:57,2018-05-04 20:40:57,23
24,Male,,1,1,EN,2018-05-04 20:45:07,2018-05-04 20:45:06,24
25,Male,,1,1,EN,2018-05-05 18:44:29,2018-05-05 18:44:28,25
26,Male,,1,1,EN,2018-05-05 23:33:03,2018-05-05 23:33:02,26
27,Male,,1,1,EN,2018-05-05 23:35:17,2018-05-05 23:35:17,27
28,Male,1989.0,1,1,EN,2018-05-06 00:24:12,2020-01-13 11:41:07,28
